node_id,x,y,z
12721,1728.71,1026.21,247.539
12722,1730.94,1024.54,244.333
12723,1730.94,1024.54,247.515
12724,1733.17,1022.86,244.27
12725,1733.17,1022.86,247.48
12726,1735.42,1021.17,244.208
12727,1735.42,1021.17,247.429
12728,1737.68,1019.47,244.147
12729,1737.68,1019.47,247.361
12730,1739.95,1017.76,244.086
12731,1739.95,1017.76,247.266
12732,1742.24,1016.04,244.025
12733,1742.24,1016.04,247.153
12734,1744.54,1014.31,243.964
12735,1744.54,1014.31,247.026
12736,1746.85,1012.57,243.903
12737,1746.85,1012.57,246.891
12738,1749.18,1010.81,243.842
12739,1749.18,1010.81,246.759
12740,1751.53,1009.05,243.781
12741,1751.53,1009.05,246.622
12742,1753.88,1007.28,243.719
12743,1753.88,1007.28,246.474
12744,1756.26,1005.49,243.655
12745,1756.26,1005.49,246.307
12746,1763.46,1000.07,243.457
12747,1763.46,1000.07,245.665
12748,1765.98,998.176,243.384
12749,1765.98,998.176,245.397
12750,1363.94,299.524,169.129
12751,1372.69,292.942,168.079
12752,1363.94,299.524,176.275
12753,1372.68,292.945,174.796
12754,1233.32,397.792,180.128
12755,1237.77,394.449,179.907
12756,1237.77,394.45,185.456
12757,1228.91,401.116,180.335
12758,1228.91,401.116,184.861
12759,1243.01,390.505,179.631
12760,1243.01,390.505,185.614
12761,1247.96,386.785,179.356
12762,1247.96,386.785,185.677
12763,1252.97,383.011,179.061
12764,1252.97,383.011,185.676
12765,1258.06,379.184,178.747
12766,1258.06,379.184,185.651
12767,1263.22,375.298,178.413
12768,1263.22,375.298,185.606
12769,1268.46,371.359,178.058
12770,1268.46,371.359,185.541
12771,1273.77,367.361,177.681
12772,1273.77,367.361,185.375
12773,1279.16,363.304,177.283
12774,1279.16,363.304,185.138
12775,1284.64,359.187,176.863
12776,1284.64,359.187,184.875
12777,1290.19,355.009,176.42
12778,1290.19,355.009,184.538
12779,1295.83,350.768,175.954
12780,1295.83,350.768,184.141
12781,1301.55,346.463,175.466
12782,1301.55,346.463,183.708
12783,1307.36,342.092,174.953
12784,1307.36,342.092,183.215
12785,1313.26,337.655,174.417
12786,1313.26,337.655,182.668
12787,1319.24,333.152,173.855
12788,1319.24,333.152,182.056
12789,1325.33,328.574,173.268
12790,1325.33,328.574,181.402
12791,1331.51,323.924,172.655
12792,1331.51,323.924,180.71
12793,1337.79,319.199,172.013
12794,1337.79,319.199,179.913
12795,1344.17,314.399,171.342
12796,1350.65,309.521,170.639
12797,1350.65,309.521,178.196
12798,1357.24,304.563,169.903
12799,1357.24,304.563,177.261
12800,1377.67,289.193,167.461
12801,1382.68,285.42,166.821
12802,1382.68,285.42,160.946
12803,1732.72,960.629,236.649
12804,1735.23,958.743,236.557
12805,1735.21,958.751,233.661
12806,1677.53,1002.15,238.15
12807,1680.02,1000.27,238.092
12808,1680.02,1000.28,235.537
12809,1675.04,1004.02,238.211
12810,1675.04,1004.02,236.145
12811,1682.04,998.754,238.045
12812,1684.32,997.043,237.993
12813,1686.61,995.322,237.941
12814,1688.91,993.59,237.889
12815,1691.22,991.849,237.837
12816,1693.55,990.098,237.784
