"ID","10..Simcenter NASTRAN Case 5, 8065..Plate Mid X Normal Strain","10..Simcenter NASTRAN Case 5, 8066..Plate Mid Y Normal Strain","10..Simcenter NASTRAN Case 5, 8068..Plate Mid XY Shear Strain"
1850,-0.000668031,0.000186814,-0.000879881
1851,-0.000602873,0.000195107,-0.000753498
1852,-0.000723603,0.000217042,-0.00084095
1853,-0.000687326,0.000197115,-0.000818359
1854,-0.000622051,0.000205481,-0.000699818
1855,-0.000748754,0.000228069,-0.000776666
1856,-0.000771173,0.000237595,-0.000709491
1857,-0.000702827,0.000205736,-0.0007503
1858,-0.000639371,0.000213158,-0.00064153
1859,-0.000716102,0.000213829,-0.000674646
1860,-0.000790605,0.000245646,-0.000635961
1861,-0.000654434,0.000219266,-0.000578873
1862,0.000223897,-0.000669618,0.0000897013
1863,-0.000712378,0.000220464,-0.0000729463
1864,-0.000659875,0.000217832,-0.0000170857
1865,-0.000650027,0.000209982,0.0000628897
1866,-0.000698925,0.000213743,0.00000706318
1867,0.000241149,-0.000717435,0.000493398
1868,-0.000707519,0.000237045,-0.000565506
1869,0.000534547,-0.00197289,-0.000398007
1870,0.000510426,-0.0019157,-0.000477416
1871,0.000487726,-0.00184374,-0.000407035
1872,0.000472806,-0.00178267,-0.000353228
1873,0.000444097,-0.00171325,-0.00034864
1874,0.000427299,-0.0016306,-0.000320213
1875,0.000411259,-0.00153842,-0.000232532
1876,0.000417635,-0.00164102,-0.000114865
1877,0.000433699,-0.00152777,-0.000425093
1878,0.000437038,-0.00169013,-0.000557707
1879,0.000398198,-0.00159242,-0.000517561
1880,0.00039331,-0.00149923,-0.000510037
1881,0.00038973,-0.00141266,-0.000529873
1882,0.000372104,-0.00132095,-0.000555942
1883,0.000353415,-0.0012336,-0.000577124
1884,0.000331002,-0.00113213,-0.000657518
1885,0.000316541,-0.00114329,-0.000661303
1886,0.000292375,-0.00102271,-0.000315259
1887,0.000348499,-0.00117074,-0.000292053
1888,0.000339349,-0.00119707,-0.000290457
1889,0.000369222,-0.00129854,-0.000174809
1890,0.000371485,-0.00133357,-0.0000775439
1891,0.000375333,-0.001363,0.0000274523
1892,0.000378534,-0.00138913,0.000121533
1893,-0.00141183,0.000380604,-0.000205722
1894,-0.00144933,0.000377966,-0.000279091
1895,0.000373435,-0.0014519,0.000401981
1896,0.000371812,-0.00145368,0.000530381
1897,0.000371968,-0.00145496,0.000652632
1898,0.000396752,-0.00155984,0.000752694
1899,-0.00154604,0.000386879,-0.000841191
1900,0.00037452,-0.0014478,0.000983335
1901,-0.0011677,0.000313042,-0.00117826
1902,0.000290867,-0.00113036,0.00126403
1903,0.00026978,-0.00109861,0.00137269
1904,0.000307517,-0.00112023,0.0013812
1905,-0.00109753,0.000305615,-0.00125019
1906,-0.00098027,0.000292298,-0.00138835
1907,-0.00111981,0.000287565,-0.00153104
1908,-0.00120452,0.000310165,-0.00155118
1909,-0.00131336,0.000326428,-0.0016141
1910,-0.0014247,0.000340629,-0.00161707
1911,-0.00156795,0.000371444,-0.00169031
1912,-0.00135094,0.000362073,-0.00133691
1913,-0.00137811,0.000358977,-0.00132865
1914,-0.0014128,0.000363198,-0.00134502
1915,-0.00148454,0.000389141,-0.00133689
1916,-0.00155579,0.000392399,-0.00120003
